SentenceID, Country, Relation, Confidence Score
2863572 , Brazil, FP.CPI.TOTL.ZG, 76.8649%,
2889786 , Iceland, BX.GSR.MRCH.CD, 97.0466%,
2889786 , Iceland, NY.GDP.MKTP.CD, 74.6769%,
2939803 , Malawi, SP.POP.TOTL, 99.0022%,
2953513 , China, SP.POP.TOTL, 99.9226%,
2953513 , China, SP.DYN.LE00.IN, 93.4535%,
2953513 , India, SP.POP.TOTL, 99.9798%,
2953513 , India, SP.DYN.LE00.IN, 99.9956%,
2982919 , China, SP.POP.TOTL, 98.8876%,
3012226 , Indonesia, SP.POP.TOTL, 99.47%,
3046241 , Iceland, NY.GDP.MKTP.CD, 84.1905%,
3046906 , Israel, NY.GDP.MKTP.CD, 53.6741%,
3046906 , Israel, SP.DYN.LE00.IN, 99.7505%,
3051930 , Ireland, NY.GDP.MKTP.CD, 98.9639%,
3103299 , Greece, NY.GDP.MKTP.CD, 61.3446%,
3103299 , Greece, NY.GDP.MKTP.CD, 51.1976%,
3103299 , Greece, EN.ATM.CO2E.KT, 99.413%,
3103299 , Greece, NY.GDP.MKTP.CD, 62.8453%,
3111992 , Niger, EP.PMP.DESL.CD, 66.6977%,
3111992 , Niger, FP.CPI.TOTL.ZG, 99.2826%,
3111992 , Niger, SP.POP.TOTL, 95.0103%,
3148583 , Ireland, FP.CPI.TOTL.ZG, 95.832%,
3148583 , Ireland, NY.GDP.MKTP.CD, 99.8314%,
3163088 , Bangladesh, FP.CPI.TOTL.ZG, 94.5169%,
3163088 , Bangladesh, FP.CPI.TOTL.ZG, 99.6754%,
3191187 , US, IT.NET.USER.P2, 83.1599%,
3198765 , Turkey, EN.ATM.CO2E.KT, 75.4823%,
3198765 , Turkey, EN.ATM.CO2E.KT, 98.2994%,
3198765 , Turkey, EN.ATM.CO2E.KT, 73.2159%,
3217383 , Hungary, FP.CPI.TOTL.ZG, 99.953%,
3217383 , Hungary, IT.NET.USER.P2, 72.1286%,
3240014 , Australia, FP.CPI.TOTL.ZG, 99.0938%,
3242488 , Uganda, SP.POP.TOTL, 99.4948%,
3253941 , Georgia, BX.GSR.MRCH.CD, 94.0397%,
3253941 , Georgia, EN.ATM.CO2E.KT, 63.2377%,
3253941 , Georgia, NY.GDP.MKTP.CD, 99.5951%,
3253941 , Georgia, EN.ATM.CO2E.KT, 99.5796%,
3285875 , Greece, NY.GDP.MKTP.CD, 99.5404%,
3289285 , Guatemala, EP.PMP.DESL.CD, 89.2813%,
3289285 , Guatemala, FP.CPI.TOTL.ZG, 87.1735%,
3289285 , Guatemala, IT.NET.USER.P2, 100%,
3289285 , Guatemala, FP.CPI.TOTL.ZG, 86.8665%,
3289285 , Guatemala, IT.NET.USER.P2, 98.7741%,
3291842 , Singapore, NY.GDP.MKTP.CD, 90.9591%,
3297632 , Greece, BX.GSR.MRCH.CD, 100%,
3297632 , Greece, EN.ATM.CO2E.KT, 88.8287%,
3297632 , Greece, NY.GDP.MKTP.CD, 100%,
3297632 , Spain, BN.KLT.DINV.CD, 100%,
3297632 , Spain, BX.GSR.MRCH.CD, 100%,
3297632 , Spain, NY.GDP.MKTP.CD, 100%,
3350727 , Brazil, SP.POP.TOTL, 100%,
3425793 , Australia, FP.CPI.TOTL.ZG, 99.0938%,
3453722 , Israel, NY.GDP.MKTP.CD, 98.8828%,
3460332 , India, SP.DYN.LE00.IN, 99.6822%,
3463747 , UK, EP.PMP.DESL.CD, 95.5997%,
3463747 , UK, FP.CPI.TOTL.ZG, 96.6187%,
3463747 , UK, IT.NET.USER.P2, 62.8828%,
3477006 , Ukraine, IT.NET.USER.P2, 99.9169%,
3477006 , Ukraine, FP.CPI.TOTL.ZG, 50.7917%,
3509175 , Pakistan, NY.GDP.MKTP.CD, 92.8669%,
3560419 , Greece, NY.GDP.MKTP.CD, 99.5404%,
3566412 , Malawi, BX.GSR.MRCH.CD, 76.461%,
3566412 , Malawi, NY.GDP.MKTP.CD, 97.3344%,
3566412 , Malawi, SP.DYN.LE00.IN, 99.7847%,
3566412 , Mozambique, EN.ATM.CO2E.KT, 99.8786%,
3566412 , Mozambique, SP.DYN.LE00.IN, 99.5186%,
3586045 , Peru, FP.CPI.TOTL.ZG, 89.095%,
3586045 , Peru, IT.NET.USER.P2, 56.1512%,
3590627 , Greece, NY.GDP.MKTP.CD, 64.257%,
3610441 , Australia, IT.NET.USER.P2, 53.8337%,
3610441 , Australia, IT.NET.USER.P2, 73.9192%,
3610441 , Indonesia, SP.DYN.LE00.IN, 98.9109%,
3626953 , Afghanistan, EN.ATM.CO2E.KT, 96.9078%,
3626953 , Afghanistan, NY.GDP.MKTP.CD, 98.0458%,
3626953 , Afghanistan, SP.DYN.LE00.IN, 99.4783%,
3654745 , Albania, SP.POP.TOTL, 99.9561%,
3657193 , Greece, BN.KLT.DINV.CD, 99.9603%,
3657193 , Greece, EN.ATM.CO2E.KT, 50.0263%,
3662632 , Sudan, EN.ATM.CO2E.KT, 73.3016%,
3662632 , Sudan, NY.GDP.MKTP.CD, 99.2793%,
3669379 , Luxembourg, NY.GDP.MKTP.CD, 99.3607%,
3669379 , Turkey, SP.DYN.LE00.IN, 99.9651%,
3729866 , Haiti, FP.CPI.TOTL.ZG, 98.6864%,
3729866 , Haiti, IT.NET.USER.P2, 70.6648%,
3729866 , Haiti, SP.POP.TOTL, 99.9947%,
3758358 , Georgia, NY.GDP.MKTP.CD, 54.7229%,
3947117 , Israel, NY.GDP.MKTP.CD, 98.8828%,
4001401 , Iceland, BN.KLT.DINV.CD, 86.1267%,
4001401 , Iceland, EN.ATM.CO2E.KT, 99.5896%,
4001401 , Iceland, NY.GDP.MKTP.CD, 62.1752%,
4013973 , Singapore, FP.CPI.TOTL.ZG, 91.3926%,
4013973 , Singapore, IT.NET.USER.P2, 99.6216%,
4013973 , Singapore, FP.CPI.TOTL.ZG, 97.4811%,
4013973 , Singapore, NY.GDP.MKTP.CD, 85.6391%,
4013973 , US, EP.PMP.DESL.CD, 82.2578%,
4013973 , US, IT.NET.USER.P2, 73.2727%,
4018247 , Malawi, BX.GSR.MRCH.CD, 98.9751%,
4018247 , Malawi, EN.ATM.CO2E.KT, 86.2813%,
4018247 , Malawi, NY.GDP.MKTP.CD, 84.2701%,
4018247 , Malawi, SP.DYN.LE00.IN, 99.4003%,
4018247 , Malawi, NY.GDP.MKTP.CD, 98.0047%,
4022094 , China, IT.NET.USER.P2, 99.4664%,
4028652 , Greece, NY.GDP.MKTP.CD, 72.0509%,
4036582 , Greece, FP.CPI.TOTL.ZG, 99.7361%,
4036582 , Greece, NY.GDP.MKTP.CD, 90.4159%,
4037932 , Greece, NY.GDP.MKTP.CD, 72.0509%,
4088392 , Chad, NY.GDP.MKTP.CD, 99.9206%,
4088392 , Chad, EN.ATM.CO2E.KT, 99.9207%,
4088392 , Chad, NY.GDP.MKTP.CD, 99.8905%,
4097274 , Haiti, EN.ATM.CO2E.KT, 98.2614%,
4097274 , Haiti, SP.DYN.LE00.IN, 95.0447%,
4140238 , Australia, IT.NET.USER.P2, 53.8337%,
4448115 , Azerbaijan, FP.CPI.TOTL.ZG, 77.1923%,
4448115 , Azerbaijan, FP.CPI.TOTL.ZG, 99.9951%,
4453591 , Iraq, EN.ATM.CO2E.KT, 99.6829%,
4454862 , US, IT.NET.USER.P2, 69.3566%,
4474980 , Russia, SP.POP.TOTL, 99.9963%,
4474980 , Russia, SP.POP.TOTL, 99.9728%,
4487832 , Greece, IT.NET.USER.P2, 85.1974%,
4487832 , Greece, NY.GDP.MKTP.CD, 72.0509%,
4488807 , Zimbabwe, NY.GDP.MKTP.CD, 99.7342%,
4488807 , Zimbabwe, SP.DYN.LE00.IN, 99.1548%,
4490937 , Lebanon, EN.ATM.CO2E.KT, 99.9466%,
4504237 , US, IT.NET.USER.P2, 99.4388%,
4505032 , Guatemala, EP.PMP.DESL.CD, 89.2813%,
4505032 , Guatemala, FP.CPI.TOTL.ZG, 87.1735%,
4505032 , Guatemala, IT.NET.USER.P2, 100%,
4505032 , Guatemala, FP.CPI.TOTL.ZG, 86.8665%,
4505032 , Guatemala, IT.NET.USER.P2, 98.7741%,
4517848 , Brazil, FP.CPI.TOTL.ZG, 98.2043%,
4517848 , Brazil, FP.CPI.TOTL.ZG, 86.7437%,
4517848 , Brazil, FP.CPI.TOTL.ZG, 62.6763%,
4517848 , Brazil, FP.CPI.TOTL.ZG, 63.5513%,
4517848 , Brazil, EN.ATM.CO2E.KT, 84.3692%,
4529581 , Greece, NY.GDP.MKTP.CD, 98.7803%,
4571337 , Israel, FP.CPI.TOTL.ZG, 99.9909%,
4571337 , Israel, FP.CPI.TOTL.ZG, 77.7493%,
4585864 , Greece, NY.GDP.MKTP.CD, 99.5404%,
4649425 , India, SP.POP.TOTL, 99.0497%,
4818714 , Pakistan, NY.GDP.MKTP.CD, 92.8669%,
4821044 , China, SP.POP.TOTL, 99.7562%,
4821372 , China, SP.POP.TOTL, 99.7562%,
4940011 , Latvia, BX.GSR.MRCH.CD, 77.2783%,
4940011 , Latvia, EN.ATM.CO2E.KT, 94.7081%,
4940011 , Latvia, NY.GDP.MKTP.CD, 97.7781%,
4943583 , Australia, FP.CPI.TOTL.ZG, 59.429%,
4943583 , Australia, IT.NET.USER.P2, 84.0529%,
4943583 , Pakistan, FP.CPI.TOTL.ZG, 96.8084%,
4959738 , Iraq, NY.GDP.MKTP.CD, 94.7937%,
4959738 , Iraq, SP.DYN.LE00.IN, 99.9996%,
4979052 , Iraq, BX.GSR.MRCH.CD, 100%,
4979052 , Iraq, NY.GDP.MKTP.CD, 100%,
4981405 , China, EN.ATM.CO2E.KT, 90.2591%,
5013551 , Haiti, EN.ATM.CO2E.KT, 73.3345%,
5020359 , China, EN.ATM.CO2E.KT, 99.3712%,
5020359 , China, EN.ATM.CO2E.KT, 97.0149%,
5061755 , Brazil, FP.CPI.TOTL.ZG, 61.8004%,
5062264 , Germany, IT.NET.USER.P2, 93.5064%,
5074747 , Poland, FP.CPI.TOTL.ZG, 92.7555%,
5074747 , Poland, FP.CPI.TOTL.ZG, 94.6016%,
5074747 , Poland, IT.NET.USER.P2, 78.3768%,
5074748 , Poland, FP.CPI.TOTL.ZG, 55.0616%,
5074748 , Poland, IT.NET.USER.P2, 56.8406%,
5098373 , Greece, FP.CPI.TOTL.ZG, 98.8778%,
5098373 , Greece, NY.GDP.MKTP.CD, 96.8598%,
5317722 , Pakistan, SP.POP.TOTL, 99.9908%,
5378999 , US, FP.CPI.TOTL.ZG, 97.7523%,
5378999 , US, FP.CPI.TOTL.ZG, 97.9014%,
5378999 , US, FP.CPI.TOTL.ZG, 94.0235%,
5378999 , US, IT.NET.USER.P2, 74.3448%,
5379111 , Australia, IT.NET.USER.P2, 93.0049%,
5379111 , Australia, SP.POP.TOTL, 72.2009%,
5379111 , Australia, EN.ATM.CO2E.KT, 97.8151%,
5711021 , China, EN.ATM.CO2E.KT, 70.2438%,
5771674 , Rwanda, BX.GSR.MRCH.CD, 81.7719%,
5771674 , Rwanda, NY.GDP.MKTP.CD, 65.5407%,
5847940 , India, FP.CPI.TOTL.ZG, 88.2964%,
5847940 , India, IT.NET.USER.P2, 97.849%,
6153628 , Switzerland, SP.POP.TOTL, 99.3548%,
6199148 , India, FP.CPI.TOTL.ZG, 99.8823%,
7057792 , Peru, SP.POP.TOTL, 99.5621%,
7057792 , Peru, AG.LND.TOTL.K2, 98.2214%,
7067063 , China, IT.NET.USER.P2, 100%,
7067063 , China, BX.GSR.MRCH.CD, 100%,
7067063 , China, NY.GDP.MKTP.CD, 100%,
7106688 , Iceland, FP.CPI.TOTL.ZG, 98.078%,
7106688 , Iceland, FP.CPI.TOTL.ZG, 87.7577%,
7106688 , Iceland, IT.NET.USER.P2, 88.078%,
7106688 , Iceland, BX.GSR.MRCH.CD, 97.0466%,
7106688 , Iceland, NY.GDP.MKTP.CD, 74.6769%,
7113411 , Turkmenistan, NY.GDP.MKTP.CD, 99.3612%,
7150832 , Iceland, BN.KLT.DINV.CD, 79.4796%,
7150832 , Iceland, BX.GSR.MRCH.CD, 53.5844%,
7150832 , Iceland, NY.GDP.MKTP.CD, 97.3236%,
7150832 , Iceland, BX.GSR.MRCH.CD, 97.0466%,
7150832 , Iceland, NY.GDP.MKTP.CD, 74.6769%,
7208469 , Indonesia, FP.CPI.TOTL.ZG, 84.4012%,
7208469 , Indonesia, IT.NET.USER.P2, 76.2174%,
7254786 , Chile, IT.NET.USER.P2, 78.6691%,
7254786 , Chile, SP.DYN.LE00.IN, 99.8896%,
7254786 , Chile, SP.DYN.LE00.IN, 99.9878%,
7254786 , Cuba, SP.DYN.LE00.IN, 99.9928%,
7254786 , Cuba, SP.DYN.LE00.IN, 99.9784%,
7258589 , Greece, NY.GDP.MKTP.CD, 90.4159%,
7297434 , French, NY.GDP.MKTP.CD, 91.7519%,
7307738 , Greece, BX.GSR.MRCH.CD, 100%,
7307738 , Greece, EN.ATM.CO2E.KT, 88.8287%,
7307738 , Greece, NY.GDP.MKTP.CD, 100%,
7307738 , Greece, EN.ATM.CO2E.KT, 70.792%,
7316439 , Bangladesh, FP.CPI.TOTL.ZG, 99.9798%,
7493629 , Brazil, IT.NET.USER.P2, 85.0084%,
7493629 , Brazil, FP.CPI.TOTL.ZG, 72.169%,
7497363 , Portugal, EN.ATM.CO2E.KT, 99.5824%,
7497363 , Portugal, NY.GDP.MKTP.CD, 76.5282%,
7525021 , Pakistan, FP.CPI.TOTL.ZG, 61.2433%,
7525021 , Pakistan, FP.CPI.TOTL.ZG, 91.4371%,
7531135 , India, FP.CPI.TOTL.ZG, 91.4523%,
7531135 , India, FP.CPI.TOTL.ZG, 99.1996%,
7531135 , India, BX.GSR.MRCH.CD, 100%,
7531135 , India, NY.GDP.MKTP.CD, 100%,
7531135 , US, IT.NET.USER.P2, 59.157%,
7531135 , US, BN.KLT.DINV.CD, 100%,
7531135 , US, BX.GSR.MRCH.CD, 100%,
7531135 , US, NY.GDP.MKTP.CD, 100%,
7541701 , China, FP.CPI.TOTL.ZG, 98.3637%,
7569479 , China, EN.ATM.CO2E.KT, 89.7998%,
7590658 , Haiti, NY.GDP.MKTP.CD, 94.5267%,
7628811 , Bangladesh, SP.POP.TOTL, 99.4455%,
7628811 , Bangladesh, SP.POP.TOTL, 98.9299%,
7662918 , Greece, IT.NET.USER.P2, 58.5624%,
7662918 , Greece, NY.GDP.MKTP.CD, 72.0509%,
7677683 , Turkey, NY.GDP.MKTP.CD, 99.7863%,
7710134 , China, FP.CPI.TOTL.ZG, 84.1739%,
7712949 , Guinea-Bissau, SP.POP.TOTL, 96.8079%,
7760023 , Greece, NY.GDP.MKTP.CD, 64.257%,
7771065 , Mexico, FP.CPI.TOTL.ZG, 99.9928%,
7771065 , Mexico, IT.NET.USER.P2, 77.1669%,
7936850 , Germany, IT.NET.USER.P2, 93.1707%,
7936850 , Germany, BN.KLT.DINV.CD, 84.113%,
7936850 , Germany, BX.GSR.MRCH.CD, 84.113%,
7936850 , Germany, NY.GDP.MKTP.CD, 84.113%,
8004559 , Afghanistan, SP.POP.TOTL, 99.9812%,
8004559 , Afghanistan, NY.GDP.MKTP.CD, 89.6831%,
8015781 , Australia, SP.POP.TOTL, 98.0085%,
8066186 , Australia, FP.CPI.TOTL.ZG, 99.9674%,
8066186 , Australia, BX.GSR.MRCH.CD, 66.6976%,
8066186 , Australia, NY.GDP.MKTP.CD, 66.6976%,
8087920 , Canada, IT.NET.USER.P2, 97.7482%,
8109366 , Bangladesh, SP.POP.TOTL, 60.9794%,
8109366 , Bangladesh, EN.ATM.CO2E.KT, 99.7075%,
8207503 , Turkey, BX.GSR.MRCH.CD, 100%,
8207503 , Turkey, NY.GDP.MKTP.CD, 100%,
8211879 , Indonesia, SP.POP.TOTL, 99.3737%,
8409164 , Colombia, FP.CPI.TOTL.ZG, 61.7754%,
8409164 , Iraq, FP.CPI.TOTL.ZG, 99.6621%,
8409164 , Pakistan, FP.CPI.TOTL.ZG, 99.6155%,
8409164 , Somalia, SP.POP.TOTL, 99.1886%,
8409164 , Somalia, SP.POP.TOTL, 78.0798%,
8409164 , Somalia, SP.POP.TOTL, 55.7933%,
8421835 , Fiji, NY.GDP.MKTP.CD, 72.4955%,
8421835 , Fiji, EN.ATM.CO2E.KT, 98.7647%,
8421835 , Fiji, NY.GDP.MKTP.CD, 92.0702%,
8421835 , Fiji, EN.ATM.CO2E.KT, 88.3678%,
8421835 , Fiji, NY.GDP.MKTP.CD, 63.2569%,
8421835 , Fiji, BX.GSR.MRCH.CD, 99.9303%,
8421835 , Fiji, EN.ATM.CO2E.KT, 88.492%,
8421835 , Fiji, NY.GDP.MKTP.CD, 56.7776%,
8437198 , Haiti, NY.GDP.MKTP.CD, 83.6837%,
8440647 , Greece, FP.CPI.TOTL.ZG, 97.7967%,
8440647 , Greece, FP.CPI.TOTL.ZG, 96.8884%,
8440647 , Greece, FP.CPI.TOTL.ZG, 99.3325%,
8440647 , Greece, IT.NET.USER.P2, 84.1129%,
8440647 , Greece, FP.CPI.TOTL.ZG, 62.3938%,
8440647 , Greece, NY.GDP.MKTP.CD, 72.0509%,
8527292 , China, FP.CPI.TOTL.ZG, 89.9396%,
8529953 , Greece, FP.CPI.TOTL.ZG, 99.7361%,
8529953 , Greece, NY.GDP.MKTP.CD, 98.7803%,
8544025 , Iceland, FP.CPI.TOTL.ZG, 100%,
8544025 , Iceland, FP.CPI.TOTL.ZG, 96.1594%,
8544025 , Iceland, NY.GDP.MKTP.CD, 84.1905%,
8547868 , Cuba, NY.GDP.MKTP.CD, 100%,
8625484 , Philippines, FP.CPI.TOTL.ZG, 80.0376%,
8625484 , Philippines, IT.NET.USER.P2, 96.5189%,
8634770 , Sweden, IT.NET.USER.P2, 66.8263%,
8634770 , Sweden, IT.NET.USER.P2, 59.2423%,
8635241 , Ireland, EP.PMP.DESL.CD, 70.6648%,
8644726 , Japan, SP.POP.TOTL, 81.3165%,
8644726 , Japan, SP.POP.TOTL, 99.9686%,
8646415 , China, IT.NET.USER.P2, 96.7367%,
8646415 , China, EN.ATM.CO2E.KT, 70.5707%,
8648964 , Greece, EN.ATM.CO2E.KT, 97.6001%,
8648964 , Spain, EN.ATM.CO2E.KT, 98.3926%,
8830537 , Russia, SP.POP.TOTL, 99.9947%,
8863650 , Ireland, NY.GDP.MKTP.CD, 61.3096%,
8863650 , Ireland, NY.GDP.MKTP.CD, 65.575%,
8877261 , Germany, FP.CPI.TOTL.ZG, 61.0942%,
9706798 , India, SP.POP.TOTL, 99.3502%,
9718028 , Jordan, EN.ATM.CO2E.KT, 99.8616%,
9718028 , Jordan, SP.DYN.LE00.IN, 99.9803%,
9788127 , Finland, SP.DYN.LE00.IN, 85.8694%,
9823464 , US, IT.NET.USER.P2, 77.7065%,
9823464 , Zimbabwe, NY.GDP.MKTP.CD, 69.2664%,
9823464 , Zimbabwe, SP.DYN.LE00.IN, 99.7796%,
10598158 , Qatar, NY.GDP.MKTP.CD, 99.9883%,
10631100 , Bulgaria, EN.ATM.CO2E.KT, 88.0395%,
10631100 , Bulgaria, EN.ATM.CO2E.KT, 89.6452%,
